"filename", "language", "Python", "comment", "blank", "total"
"c:\ProgrammingProjects\3dRendere\Objects3D.py", "Python", 305, 30, 204, 539
"c:\ProgrammingProjects\3dRendere\Time.py", "Python", 2, 0, 0, 2
"c:\ProgrammingProjects\3dRendere\Vec.py", "Python", 68, 10, 40, 118
"c:\ProgrammingProjects\3dRendere\canvas.py", "Python", 59, 18, 81, 158
"c:\ProgrammingProjects\3dRendere\errorHandling.py", "Python", 9, 2, 2, 13
"c:\ProgrammingProjects\3dRendere\fileHandling.py", "Python", 46, 15, 31, 92
"c:\ProgrammingProjects\3dRendere\game.py", "Python", 107, 29, 82, 218
"c:\ProgrammingProjects\3dRendere\gameSettings.py", "Python", 11, 11, 11, 33
"c:\ProgrammingProjects\3dRendere\image.py", "Python", 40, 15, 24, 79
"c:\ProgrammingProjects\3dRendere\input.py", "Python", 4, 0, 3, 7
"c:\ProgrammingProjects\3dRendere\inputHandler.py", "Python", 58, 12, 35, 105
"c:\ProgrammingProjects\3dRendere\main.py", "Python", 71, 30, 45, 146
"c:\ProgrammingProjects\3dRendere\mathFunctions.py", "Python", 5, 4, 5, 14
"c:\ProgrammingProjects\3dRendere\memoryCard.py", "Python", 112, 29, 55, 196
"c:\ProgrammingProjects\3dRendere\menu.py", "Python", 189, 59, 124, 372
"c:\ProgrammingProjects\3dRendere\pixel.py", "Python", 15, 0, 10, 25
"c:\ProgrammingProjects\3dRendere\polygon.py", "Python", 187, 18, 127, 332
"c:\ProgrammingProjects\3dRendere\printletters.py", "Python", 2, 0, 0, 2
"c:\ProgrammingProjects\3dRendere\renderer.py", "Python", 180, 43, 130, 353
"c:\ProgrammingProjects\3dRendere\renderingInformation.py", "Python", 11, 5, 4, 20
"c:\ProgrammingProjects\3dRendere\rgbBlendModes.py", "Python", 12, 3, 2, 17
"c:\ProgrammingProjects\3dRendere\scoreBoard.py", "Python", 29, 2, 40, 71
"c:\ProgrammingProjects\3dRendere\settings.py", "Python", 20, 4, 9, 33
"c:\ProgrammingProjects\3dRendere\slopeEquation.py", "Python", 52, 5, 27, 84
"c:\ProgrammingProjects\3dRendere\texthandling.py", "Python", 107, 17, 78, 202
"c:\ProgrammingProjects\3dRendere\virtualCamera.py", "Python", 51, 12, 37, 100
"Total", "-", 1752, 373, 1206, 3331
